Title,Year,Release Date,Release Day,Season,Studio,Story,Genre,Budget Bucket,Rotten Tomatoes %,Audience  score %,Box Office Average per US Cinema (Opening Weekend) ($),Domestic Gross ($m),Foreign Gross ($m),Worldwide Gross ($m),Budget ($m),Profitability (% of Budget),Random ($m),Net Profit ($m),Opening Weekend ($m),Price per Movie
Conan the Barbarian,2020,2020-09-23,Friday,Fall,Lionsgate,Quest,Action,50 to 100,22%,34%,"$3,324",$21.30,$27.50,$48.80,$90.00,54.22%,$319.00,-$41.20,$10.02,"$2,200.00"
Cars 2,2020,2020-09-23,Friday,Fall,Pixar,Fish Out Of Water,Animation,> 200,38%,56%,"$16,072",$191.45,$360.40,$551.85,$200.00,275.93%,-$712.00,$351.85,$66.14,"$3,800.00"
A Very Harold and Kumar Christmas,2020,2020-09-23,Friday,Fall,Lionsgate,Comedy,Comedy,< 50,72%,71%,"$4,506",$34.04,,$34.04,$19.00,179.16%,-$412.00,$15.04,$12.95,"$7,200.00"
Take Shelter,2020,2020-09-23,Friday,Fall,Independent,Sacrifice,Drama,< 50,92%,85%,,$1.57,,$1.57,$5.00,31.40%,"-$1,995.00",-$3.43,$0.05,"$9,200.00"
Something Borrowed,2020,2020-09-23,Friday,Fall,Independent,Love,Romance,< 50,,,"$4,802",$39.05,$21.14,$60.18,$35.00,171.94%,-$207.00,$25.18,$13.95,
Contagion,2020,2020-09-23,Friday,Fall,Warner Bros.,The Riddle,Thriller,50 to 100,84%,63%,"$6,935",$75.66,$59.80,$135.46,$60.00,225.77%,"-$1,460.00",$75.46,$22.40,"$8,400.00"
G.I. Joe: The Rise of Cobra,2020,2020-09-23,Wednesday,Fall,Paramount,Pursuit,Action,150 to 200,33%,62%,"$13,654",$150.20,$152.26,$302.10,$175.00,172.63%,"$2,812.00",$127.10,$54.70,"$3,300.00"
Halloween II,2020,2020-09-23,Wednesday,Fall,Independent,Escape,Horror,< 50,20%,45%,"$5,405",$33.39,$6.02,$39.41,$15.00,262.73%,-$122.00,$24.41,$16.30,$200.00
12 Rounds,2020,2020-09-18,Friday,Fall,Fox,Rescue,Action,< 50,30%,52%,"$2,286",$12.23,$5.94,$18.17,$20.00,90.85%,"-$1,240.00",-$1.83,$5.30,$300.00
Planet 51,2020,2020-09-18,Friday,Fall,Independent,Comedy,Animation,50 to 100,22%,45%,"$4,048",$42.19,$63.45,$105.64,$70.00,150.91%,$619.00,$35.64,$12.30,"$2,200.00"
Public Enemies,2020,2020-09-18,Friday,Fall,Universal,Underdog,Biography,100 to 150,67%,65%,"$7,580",$97.10,$117.00,$214.10,$100.00,214.10%,"$2,969.00",$114.10,$25.20,"$6,700.00"
Despicable Me,2020,2020-09-17,Friday,Fall,Universal,Maturation,Animation,50 to 100,81%,81%,"$16,225",$251.38,$290.50,$541.88,$69.00,785.33%,"-$1,102.00",$472.88,$56.40,"$8,100.00"
Legend of the Guardians: The Owls of Ga'Hoole,2020,2020-09-17,Friday,Fall,Warner Bros.,Rivalry,Animation,50 to 100,51%,65%,"$4,507",$55.64,$84.26,$139.90,$80.00,174.88%,"-$1,802.00",$59.90,$16.10,"$5,100.00"
Edge of Darkness,2020,2020-09-17,Friday,Fall,Warner Bros.,Revenge,Crime,50 to 100,55%,56%,"$5,615",$43.31,$37.81,$81.12,$80.00,101.40%,"$2,013.00",$1.12,$17.20,"$5,500.00"
Hugo,2020,2020-09-16,Friday,Fall,Paramount,,Adventure,150 to 200,93%,84%,"$8,899",$62.08,$34.60,$96.68,$150.00,64.45%,$132.00,-$53.32,$11.36,"$9,300.00"
Final Destination 5,2020,2020-09-16,Friday,Fall,New Line Cinema,Monster Force,Horror,< 50,61%,56%,"$5,715",$42.59,$115.30,$157.89,$40.00,394.73%,"$2,415.00",$117.89,$18.03,"$6,100.00"
Jane Eyre,2020,2020-09-16,Friday,Fall,Universal,Love,Romance,,85%,77%,,$11.24,$18.91,$30.15,,,"$2,871.00",,$0.18,"$8,500.00"
Machine Gun Preacher,2020,2020-09-14,Wednesday,Fall,Lionsgate,Transformation,Action,< 50,29%,71%,,$0.54,$0.57,$1.10,$30.00,3.67%,"$1,359.00",-$28.90,$0.05,"$2,900.00"
Whiteout,2020,2020-09-11,Friday,Fall,Warner Bros.,Pursuit,Action,< 50,7%,28%,"$1,791",$10.30,$1.90,$12.20,$35.00,34.86%,-$921.00,-$22.80,$4.90,$700.00
The Twilight Saga: New Moon,2020,2020-09-11,Friday,Fall,Summit,Love,Drama,50 to 100,27%,78%,"$35,497",$296.62,$413.20,$709.82,$50.00,1419.64%,$591.00,$659.82,$142.80,"$2,700.00"
Pirates of the Caribbean: On Stranger Tides,2020,2020-09-09,Friday,Fall,Disney,Quest,Action,> 200,34%,61%,"$21,697",$241.07,$802.80,"$1,043.87",$250.00,417.55%,"$1,793.00",$793.87,$90.15,"$3,400.00"
Warrior,2020,2020-09-09,Friday,Fall,Lionsgate,Rivalry,Action,< 50,83%,93%,"$2,805",$13.66,$9.40,$23.06,$25.00,92.24%,$696.00,-$1.94,$5.24,"$8,300.00"
Avatar,2020,2020-09-04,Friday,Fall,Fox,Metamorphosis,Action,> 200,83%,92%,"$22,313",$760.50,"$2,023.00","$2,783.50",$237.00,1174.47%,$296.00,"$2,546.50",$77.00,"$8,300.00"
Dear John,2020,2020-09-03,Friday,Fall,Sony,Love,Drama,< 50,29%,66%,"$10,262",$80.01,$34.96,$114.97,$25.00,459.88%,"$2,970.00",$89.97,$30.40,"$2,900.00"
The Green Hornet,2020,2020-09-02,Friday,Fall,Columbia,Rivalry,Action,100 to 150,44%,47%,"$9,335",$98.80,$129.00,$227.80,$120.00,189.83%,-$416.00,$107.80,$33.50,"$4,400.00"
Star Trek,2020,2020-08-28,Friday,Summer,Paramount,Revenge,Action,100 to 150,94%,91%,"$19,539",$257.70,$127.95,$385.65,$140.00,275.46%,"$1,667.00",$245.65,$75.20,"$9,400.00"
Couples Retreat,2020,2020-08-28,Friday,Summer,Universal,Comedy,Comedy,50 to 100,12%,47%,"$11,429",$109.20,$62.63,$171.83,$60.00,286.38%,$940.00,$111.83,$34.30,"$1,200.00"
It's Complicated,2020,2020-08-28,Friday,Summer,Universal,Love,Comedy,50 to 100,56%,63%,"$7,655",$112.73,$111.87,$224.60,$85.00,264.24%,"-$1,426.00",$139.60,$22.10,"$5,600.00"
The Greatest,2020,2020-08-27,Friday,Summer,Independent,Discovery,Drama,< 50,52%,39%,,$0.11,$0.30,$0.41,$6.00,6.83%,$778.00,-$5.59,$0.30,"$5,200.00"
Case 39,2020,2020-08-27,Friday,Summer,Independent,Monster Force,Horror,< 50,23%,42%,"$2,420",$13.26,$14.93,$28.19,$26.00,108.42%,"$2,778.00",$2.19,$5.40,"$2,300.00"
Sucker Punch,2020,2020-08-26,Friday,Summer,Legendary Pictures,Quest,Action,50 to 100,23%,48%,"$6,284",$36.39,$53.40,$89.79,$82.00,109.50%,$650.00,$7.79,$19.06,"$2,300.00"
Hop,2020,2020-08-26,Friday,Summer,Relativity Media,Fish Out Of Water,Animation,50 to 100,26%,50%,"$10,490",$108.09,$75.87,$183.95,$63.00,291.98%,"-$1,262.00",$120.95,$37.54,"$2,600.00"
Larry Crowne,2020,2020-08-26,Friday,Summer,Universal,Discovery,Drama,< 50,34%,46%,"$4,405",$35.61,$16.80,$52.41,$30.00,174.70%,"$1,232.00",$22.41,$13.10,"$3,400.00"
Whatever Works,2020,2020-08-26,Wednesday,Summer,Independent,Discovery,Comedy,< 50,50%,63%,"$29,574",$5.30,$29.80,$35.10,$15.00,234.00%,-$500.00,$20.10,$0.26,$500.00
Zombieland,2020,2020-08-21,Friday,Summer,Sony,Monster Force,Action,< 50,90%,87%,"$8,147",$75.59,$27.20,$102.79,$23.60,435.55%,"-$1,075.00",$79.19,$24.70,$900.00
The Last Exorcism,2020,2020-08-20,Friday,Summer,Independent,Monster Force,Drama,< 50,73%,32%,"$7,087",$41.03,$25.42,$66.45,$1.80,3691.67%,-$884.00,$64.65,$20.40,"$7,300.00"
Country Strong,2020,2020-08-20,Friday,Summer,Sony,Rags to Riches,Drama,< 50,20%,56%,"$5,145",$20.21,$0.31,$20.52,$15.00,136.80%,-$598.00,$5.52,$7.33,$200.00
Mother and Child,2020,2020-08-20,Friday,Summer,Independent,Transformation,Drama,< 50,79%,61%,,$1.11,$3.76,$4.87,$7.00,69.57%,$576.00,-$2.13,$0.43,"$7,900.00"
Season Of The Witch,2020,2020-08-19,Friday,Summer,Relativity,Monster Force,Action,< 50,10%,32%,"$3,769",$24.80,$66.80,$91.60,$40.00,229.00%,-$547.00,$51.60,$10.60,$100.00
Mr. Popper's Penguins,2020,2020-08-19,Friday,Summer,20th Century Fox,Discovery,Comedy,50 to 100,47%,54%,"$5,524",$68.22,$119.14,$187.36,$55.00,340.65%,"$1,892.00",$132.36,$18.45,"$4,700.00"
New Year's Eve,2020,2020-08-19,Friday,Summer,Warner Bros.,Love,Romance,50 to 100,8%,48%,"$3,714",$54.54,$87.50,$142.04,$56.00,253.64%,"$1,817.00",$86.04,$13.01,$800.00
"Pirate Radio (The Boat that Rocked, UK)",2020,2020-08-14,Friday,Summer,Focus,Comedy,Comedy,50 to 100,60%,72%,"$3,293",$8.01,$28.33,$36.34,$50.00,72.68%,-$3.00,-$13.66,$2.90,$600.00
He's Just Not That Into You,2020,2020-08-14,Friday,Summer,Warner Bros.,Love,Comedy,< 50,42%,60%,"$8,751",$93.95,$84.89,$178.84,$25.00,715.36%,-$388.00,$153.84,$27.80,"$4,200.00"
Youth in Revolt,2020,2020-08-13,Friday,Summer,The Weinstein Company,Love,Comedy,< 50,68%,52%,"$3,678",$15.28,$4.34,$19.62,$18.00,109.00%,"$2,037.00",$1.62,$6.90,"$6,800.00"
Paranormal Activity 2,2020,2020-08-13,Friday,Summer,Paramount,Monster Force,Horror,< 50,59%,,"$12,649",$84.75,$92.75,$177.50,$3.00,5916.67%,"$2,773.00",$174.50,$40.67,"$5,900.00"
Thor,2020,2020-08-12,Friday,Summer,Disney,Monster Force,Action,150 to 200,77%,80%,"$16,618",$181.03,$267.48,$448.51,$150.00,299.01%,"-$1,854.00",$298.51,$65.72,"$7,700.00"
The Debt,2020,2020-08-12,Friday,Summer,Universal,Pursuit,Thriller,< 50,76%,70%,"$5,427",$31.18,$14.25,$45.43,$20.00,227.15%,"-$1,865.00",$25.43,$9.91,"$7,600.00"
Confessions of a Shopaholic,2020,2020-08-07,Friday,Summer,Disney,Comedy,Comedy,50 to 100,24%,53%,"$6,010",$44.27,$64.05,$108.30,$70.00,154.71%,"-$1,987.00",$38.30,$15.00,"$2,400.00"
The Hurt Locker,2020,2020-08-07,Friday,Summer,Independent,Quest,Drama,< 50,97%,83%,"$36,338",$17.01,$32.21,$49.22,$15.00,328.13%,"-$1,736.00",$34.22,$0.14,"$9,700.00"
Faster	,2020,2020-08-06,Friday,Summer,CBS,Revenge,Action,< 50,41%,50%,"$3,873",$22.94,$1.97,$24.91,$24.00,103.79%,$597.00,$0.91,$8.52,"$4,100.00"
Nanny McPhee Returns,2020,2020-08-06,Friday,Summer,Universal,Comedy,Comedy,< 50,77%,54%,"$3,020",$29.01,$64.23,$93.24,$35.00,266.40%,"$2,889.00",$58.24,$8.40,"$7,700.00"
The Switch,2020,2020-08-06,Friday,Summer,Independent,Comedy,Comedy,< 50,52%,44%,"$4,193",$27.78,$19.95,$47.73,$19.00,251.21%,"$1,325.00",$28.73,$8.40,"$5,200.00"
Devil,2020,2020-08-06,Friday,Summer,Independent,Monster Force,Horror,< 50,52%,45%,"$4,375",$33.60,$23.23,$56.83,$10.00,568.30%,$287.00,$46.83,$12.30,"$5,200.00"
Hesher,2020,2020-08-05,Friday,Summer,Independent,Wretched Excess,Drama,< 50,54%,68%,,$0.38,,$0.38,$7.00,5.43%,-$484.00,-$6.62,$0.13,"$5,400.00"
Sherlock Holmes,2020,2020-07-31,Friday,Summer,Warner Bros.,The Riddle,Action,50 to 100,70%,81%,"$17,183",$209.02,$315.00,$524.02,$90.00,582.24%,$783.00,$434.02,$62.30,$700.00
Inkheart,2020,2020-07-31,Friday,Summer,Warner Bros.,Quest,Adventure,50 to 100,39%,51%,"$2,862",$17.30,$45.14,$62.44,$60.00,104.07%,"$1,766.00",$2.44,$7.60,"$3,900.00"
The Box,2020,2020-07-31,Friday,Summer,Warner Bros.,Temptation,Drama,< 50,46%,27%,"$2,873",$15.10,$18.28,$33.38,$30.00,111.27%,"$2,220.00",$3.38,$7.60,"$4,600.00"
Duplicity,2020,2020-07-31,Friday,Summer,Universal,Rivalry,Romance,50 to 100,64%,38%,"$5,425",$40.57,$37.57,$78.14,$60.00,130.23%,"-$1,919.00",$18.14,$14.00,"$6,400.00"
Killers,2020,2020-07-30,Friday,Summer,Lionsgate,Love,Action,50 to 100,11%,45%,"$5,539",$47.06,$46.34,$93.40,$75.00,124.53%,"$1,230.00",$18.40,$15.80,"$1,100.00"
Jackass 3-D,2020,2020-07-30,Friday,Summer,Paramount,Comedy,Documentary,< 50,63%,72%,"$16,343",$117.19,$52.76,$169.95,$20.00,849.75%,$467.00,$149.95,$50.40,"$6,300.00"
Priest,2020,2020-07-29,Friday,Summer,Sony,Monster Force,Action,50 to 100,17%,37%,"$5,221",$29.14,$49.17,$78.31,$60.00,130.52%,-$829.00,$18.31,$14.95,"$1,700.00"
Drive Angry,2020,2020-07-29,Friday,Summer,Independent,Rescue,Action,< 50,45%,38%,"$2,265",$10.72,$18.21,$28.93,$45.00,64.29%,"$2,648.00",-$16.07,$5.19,"$4,500.00"
Shark Night 3D,2020,2020-07-29,Friday,Summer,Relativity,Escape,Horror,< 50,16%,25%,"$2,995",$18.88,$19.83,$38.70,$25.00,154.80%,"$2,923.00",$13.70,$8.40,"$1,600.00"
I Am Number Four,2020,2020-07-29,Friday,Summer,Paramount,Maturation,Thriller,50 to 100,32%,57%,"$6,167",$55.10,$89.40,$144.50,$60.00,240.83%,"$2,829.00",$84.50,$19.45,"$3,200.00"
Law Abiding Citizen,2020,2020-07-29,Wednesday,Summer,Independent,Revenge,Crime,50 to 100,25%,77%,"$7,280",$73.40,$53.08,$126.48,$53.00,238.64%,"$1,778.00",$73.48,$21.00,"$2,500.00"
Waiting For Forever,2020,2020-07-27,Wednesday,Summer,Independent,Love,Romance,< 50,6%,53%,"$2,972",$0.03,,$0.03,$5.00,0.60%,"$1,024.00",-$4.97,$0.01,$600.00
Fantastic Mr. Fox,2020,2020-07-24,Friday,Summer,Fox,Rivalry,Animation,< 50,93%,80%,"$3,426",$21.00,$25.46,$46.46,$40.00,116.15%,$532.00,$6.46,$7.00,"$9,300.00"
The Hangover,2020,2020-07-24,Friday,Summer,Warner Bros.,Comedy,Comedy,< 50,79%,87%,"$13,759",$277.30,$190.16,$467.46,$35.00,1335.60%,"-$1,529.00",$432.46,$45.00,"$7,900.00"
Green Zone,2020,2020-07-23,Friday,Summer,Universal,Quest,Action,100 to 150,53%,60%,"$4,765",$35.05,$59.82,$94.87,$100.00,94.87%,"-$1,225.00",-$5.13,$14.30,"$5,300.00"
Salt,2020,2020-07-23,Friday,Summer,Sony,Revenge,Action,100 to 150,62%,62%,"$9,970",$118.31,$175.19,$293.50,$110.00,266.82%,"$1,073.00",$183.50,$36.00,"$6,200.00"
Machete,2020,2020-07-23,Friday,Summer,Independent,Revenge,Action,< 50,73%,66%,"$4,276",$26.59,$15.55,$42.14,$20.00,210.70%,$64.00,$22.14,$11.00,"$7,300.00"
Kung Fu Panda 2,2020,2020-07-22,Friday,Summer,DreamWorks Animation,Rivalry,Animation,150 to 200,82%,80%,"$12,142",$165.25,$497.78,$663.02,$150.00,442.01%,$790.00,$513.02,$47.66,"$8,200.00"
The Tree Of Life,2020,2020-07-22,Friday,Summer,Independent,Discovery,Drama,< 50,84%,61%,"$93,230",$13.30,$41.00,$54.30,$32.00,169.69%,"$2,153.00",$22.30,$0.37,"$8,400.00"
Inception,2020,2020-07-21,Wednesday,Summer,Warner Bros.,Journey and Return,Action,150 to 200,86%,93%,"$16,557",$292.58,$531.00,$823.58,$160.00,514.74%,"$1,379.00",$663.58,$62.80,"$8,600.00"
The Wolfman,2020,2020-07-21,Wednesday,Summer,Universal,Monster Force,Drama,150 to 200,33%,38%,"$9,770",$61.98,$77.81,$139.79,$150.00,93.19%,$173.00,-$10.21,$31.50,"$3,300.00"
Paul Blart: Mall Cop,2020,2020-07-17,Friday,Summer,Sony,Comedy,Action,< 50,33%,50%,"$10,125",$146.33,$36.95,$183.28,$26.00,704.92%,-$327.00,$157.28,$31.80,"$3,300.00"
The Proposal,2020,2020-07-17,Friday,Summer,Disney,Love,Comedy,< 50,43%,74%,"$11,004",$164.00,$150.70,$314.70,$40.00,786.75%,-$553.00,$274.70,$33.60,"$4,300.00"
Legion,2020,2020-07-16,Friday,Summer,Independent,Monster Force,Action,< 50,19%,36%,"$7,069",$40.17,$27.74,$67.91,$26.00,261.19%,-$824.00,$41.91,$17.50,"$1,900.00"
Why Did I Get Married Too?,2020,2020-07-16,Friday,Summer,Lionsgate,Comedy,Comedy,< 50,27%,67%,"$13,591",$60.09,$0.58,$60.67,$20.00,303.35%,$301.00,$40.67,$29.30,"$2,700.00"
I'm Still Here,2020,2020-07-16,Friday,Summer,Independent,Comedy,Comedy,,52%,38%,,$0.41,$0.14,$0.55,,,"-$1,673.00",,$0.10,"$5,200.00"
The Thing,2020,2020-07-15,Friday,Summer,Universal,Monster Force,Horror,< 50,36%,52%,"$2,835",$16.93,$10.50,$27.43,$38.00,72.18%,"-$1,670.00",-$10.57,$8.49,"$3,600.00"
One Day,2020,2020-07-15,Friday,Summer,Independent,Love,Romance,< 50,37%,54%,"$2,955",$13.84,$41.40,$55.24,$15.00,368.27%,"-$1,130.00",$40.24,$5.08,"$3,700.00"
Never Let Me Go,2020,2020-07-14,Wednesday,Summer,Independent,Tragedy,Drama,< 50,70%,70%,,$2.43,$7.30,$9.73,$15.00,64.87%,"-$1,734.00",-$5.27,$0.11,$700.00
Where the Wild Things Are,2020,2020-07-10,Friday,Summer,Warner Bros.,Journey and Return,Adventure,100 to 150,73%,59%,"$8,754",$77.23,$21.89,$99.12,$100.00,99.12%,-$229.00,-$0.88,$32.70,"$7,300.00"
The Ugly Truth,2020,2020-07-10,Friday,Summer,Independent,Love,Comedy,< 50,14%,68%,"$9,579",$88.90,$116.40,$205.30,$38.00,540.26%,-$798.00,$167.30,$27.60,"$1,400.00"
An Education,2020,2020-07-10,Friday,Summer,Sony Classics,Maturation,Drama,< 50,94%,78%,"$1,003",$12.57,$13.52,$26.09,$7.50,347.87%,"-$1,661.00",$18.59,$0.76,"$9,400.00"
Tooth Fairy,2020,2020-07-09,Friday,Summer,Fox,Comedy,Comedy,< 50,16%,46%,"$4,190",$60.02,$52.34,$112.36,$48.00,234.08%,$974.00,$64.36,$14.00,"$1,600.00"
Gulliver's Travels,2020,2020-07-09,Friday,Summer,Fox,Journey and Return,Comedy,100 to 150,21%,31%,"$2,477",$42.00,$194.00,$236.00,$112.00,210.71%,"-$1,259.00",$124.00,$6.30,"$2,100.00"
Never Back Down 2: The Beatdown,2020,2020-07-08,Friday,Summer,Sony,Rivalry,Action,< 50,47%,44%,,,,,$3.00,,"$2,419.00",,$8.60,"$4,700.00"
Dolphin Tale,2020,2020-07-08,Friday,Summer,Independent,Quest,Drama,< 50,84%,81%,"$5,461",$71.08,$16.86,$87.95,$37.00,237.70%,"-$1,080.00",$50.95,$19.15,"$8,400.00"
Pandorum,2020,2020-07-03,Friday,Summer,Independent,Monster Force,Action,< 50,28%,49%,"$1,765",$10.30,$6.70,$17.00,$40.00,42.50%,"$2,167.00",-$23.00,$4.40,"$2,800.00"
My Bloody Valentine 3-D,2020,2020-07-03,Friday,Summer,Lionsgate,Pursuit,Crime,< 50,57%,48%,"$8,383",$51.54,$51.20,$102.74,$14.00,733.86%,-$746.00,$88.74,$21.20,"$5,700.00"
Hot Tub Time Machine,2020,2020-07-02,Friday,Summer,MGM,Journey and Return,Adventure,< 50,64%,57%,"$5,091",$50.29,$14.13,$64.42,$36.00,178.94%,-$927.00,$28.42,$14.00,"$6,400.00"
Marmaduke,2020,2020-07-02,Friday,Summer,Fox,Rivalry,Comedy,50 to 100,9%,46%,"$3,610",$33.64,$49.71,$83.35,$50.00,166.70%,"$1,564.00",$33.35,$11.60,$900.00
The Artist,2020,2020-07-01,Friday,Summer,Weinstein Company,,Drama,< 50,97%,91%,"$3,583",$40.45,$65.29,$105.74,$16.00,660.88%,"-$1,980.00",$89.74,$2.37,"$9,700.00"
Red State,2020,2020-07-01,Friday,Summer,Independent,Escape,Horror,< 50,57%,59%,,$1.10,,$1.10,$4.00,27.50%,-$283.00,-$2.90,,"$5,700.00"
Adventureland,2020,2020-06-26,Friday,Summer,Miramax,Maturation,Comedy,< 50,89%,56%,"$3,073",$16.04,$1.10,$17.14,$9.80,174.90%,$505.00,$7.34,$5.70,"$8,900.00"
Everybody's Fine,2020,2020-06-26,Friday,Summer,Miramax,Discovery,Drama,< 50,46%,55%,"$1,806",$9.20,$7.20,$16.40,$21.00,78.10%,$91.00,-$4.60,$3.90,"$4,600.00"
Paranormal Activity,2020,2020-06-26,Friday,Summer,Independent,Monster Force,Horror,< 50,82%,56%,"$25,813",$107.92,$88.76,$196.68,$0.02,983400.00%,$715.00,$196.66,$19.60,"$8,200.00"
The Stepfather,2020,2020-06-26,Friday,Summer,Sony,Rescue,Mystery,< 50,12%,48%,"$4,236",$29.10,$2.13,$31.20,$20.00,156.00%,"$2,063.00",$11.20,$11.60,"$1,200.00"
The Bounty Hunter,2020,2020-06-25,Friday,Summer,Sony,Rivalry,Action,< 50,7%,41%,"$6,729",$67.06,$69.26,$136.32,$40.00,340.80%,"$1,557.00",$96.32,$20.70,$700.00
Kick-Ass,2020,2020-06-25,Friday,Summer,Independent,Rivalry,Action,< 50,76%,83%,"$6,469",$48.07,$48.06,$96.13,$30.00,320.43%,-$617.00,$66.13,$19.80,"$7,600.00"
The Spy Next Door,2020,2020-06-25,Friday,Summer,Relativity Media,Rivalry,Action,,13%,46%,"$3,326",$24.31,$19.27,$43.58,,,"$2,268.00",,$9.70,"$1,300.00"
True Grit,2020,2020-06-25,Friday,Summer,Paramount,Revenge,Adventure,< 50,96%,86%,"$8,149",$171.00,$81.03,$252.03,$38.00,663.24%,"$2,295.00",$214.03,$24.00,"$9,600.00"
The King's Speech,2020,2020-06-25,Friday,Summer,Independent,Maturation,Biography,< 50,95%,93%,"$6,406",$138.79,$288.57,$427.36,$15.00,2849.07%,"$2,620.00",$412.36,$4.40,"$9,500.00"
Rise of the Planet of the Apes,2020,2020-06-24,Friday,Summer,20th Century Fox,Revenge,Action,50 to 100,83%,87%,"$15,024",$176.70,$304.52,$481.23,$93.00,517.45%,"$1,929.00",$388.23,$54.81,"$8,300.00"
Water For Elephants,2020,2020-06-24,Friday,Summer,20th Century Fox,Love,Drama,< 50,60%,72%,"$5,979",$58.71,$58.39,$117.09,$38.00,308.13%,-$47.00,$79.09,$16.84,$600.00
Source Code,2020,2020-06-24,Friday,Summer,Summit Entertainment,The Riddle,Thriller,< 50,92%,81%,"$5,002",$54.71,$68.57,$123.28,$32.00,385.25%,"-$1,938.00",$91.28,$14.81,"$9,200.00"
Transformers: Revenge of the Fallen,2020,2020-06-19,Friday,Summer,Paramount,Revenge,Action,> 200,20%,76%,"$25,736",$402.10,$434.20,$836.30,$210.00,398.24%,"$1,216.00",$626.30,$109.00,$200.00
Repo Men,2020,2020-06-18,Friday,Summer,Universal,Rescue,Action,< 50,22%,43%,"$2,430",$13.79,$4.62,$18.41,$32.00,57.53%,"-$1,738.00",-$13.59,$6.10,"$2,200.00"
Yogi Bear,2020,2020-06-18,Friday,Summer,,,Comedy,50 to 100,14%,36%,"$4,669",$100.24,$102.03,$202.27,$80.00,252.84%,"-$1,003.00",$122.27,$16.40,"$1,400.00"
Albert Nobbs,2020,2020-06-17,Friday,Summer,Independent,,Drama,< 50,53%,43%,"$2,841",$2.75,$0.00,$2.75,$8.00,34.38%,$341.00,-$5.25,$0.69,"$5,300.00"
Don't Be Afraid Of The Dark,2020,2020-06-17,Friday,Summer,Miramax Films,Monster Force,Horror,< 50,59%,37%,"$3,089",$24.05,$7.50,$31.55,$25.00,126.20%,"$1,791.00",$6.55,$8.53,"$5,900.00"
Crank: High Voltage,2020,2020-06-17,Wednesday,Summer,Lionsgate,Pursuit,Action,< 50,62%,54%,"$3,133",$13.70,$20.80,$34.50,$12.90,267.44%,$916.00,$21.60,$7.00,"$6,200.00"
Aliens in the Attic,2020,2020-06-17,Wednesday,Summer,Fox,Monster Force,Adventure,< 50,30%,46%,"$2,578",$25.20,$32.68,$57.88,$45.00,128.62%,$4.00,$12.88,$8.00,$300.00
Ninja Assassin,2020,2020-06-12,Friday,Summer,Warner Bros.,Revenge,Action,50 to 100,25%,57%,"$5,320",$38.12,$23.47,$61.59,$50.00,123.18%,$986.00,$11.59,$13.30,"$2,500.00"
Julie & Julia,2020,2020-06-12,Friday,Summer,Sony,Underdog,Biography,< 50,74%,69%,"$8,508",$94.12,$32.52,$126.64,$40.00,316.60%,"-$1,871.00",$86.64,$20.00,"$7,400.00"
Daybreakers	,2020,2020-06-11,Friday,Summer,Lionsgate,Discovery,Action,< 50,67%,50%,"$6,003",$30.10,$21.31,$51.41,$20.00,257.05%,"$1,044.00",$31.41,$15.10,"$6,700.00"
Going the Distance,2020,2020-06-11,Friday,Summer,Warner Bros.,Love,Comedy,< 50,53%,56%,"$2,272",$17.80,$24.25,$42.05,$32.00,131.41%,"-$1,142.00",$10.05,$6.90,"$5,300.00"
30 Minutes or Less,2020,2020-06-10,Friday,Summer,Independent,Comedy,Comedy,< 50,43%,48%,"$4,616",$37.05,$3.49,$40.55,$28.00,144.82%,"$2,220.00",$12.55,$13.33,"$4,300.00"
The Rite,2020,2020-06-10,Friday,Summer,Warner Bros.,Monster Force,Horror,< 50,20%,43%,"$4,955",$33.00,$63.00,$96.00,$37.00,259.46%,"$1,956.00",$59.00,$14.80,$200.00
Surrogates,2020,2020-06-10,Wednesday,Summer,Buena Vista,Pursuit,Action,50 to 100,39%,42%,"$5,050",$38.57,$83.86,$122.43,$80.00,153.04%,"$1,415.00",$42.43,$14.90,"$3,900.00"
Up in the Air,2020,2020-06-10,Wednesday,Summer,Paramount,Maturation,Drama,< 50,90%,76%,"$5,947",$83.82,$83.00,$166.82,$25.00,667.28%,"$2,200.00",$141.82,$11.20,$900.00
Diary of a Wimpy Kid 2: Rodrick Rules,2020,2020-06-08,Wednesday,Summer,20th Century Fox,Comedy,Comedy,< 50,47%,63%,"$7,500",$52.70,$19.72,$72.42,$21.00,344.86%,-$980.00,$51.42,$23.75,"$4,700.00"
Dance Flick,2020,2020-06-05,Friday,Summer,Paramount,Comedy,Action,< 50,17%,35%,"$4,344",$25.66,$5.77,$31.43,$25.00,125.72%,"$2,812.00",$6.43,$10.60,"$1,700.00"
Funny People,2020,2020-06-05,Friday,Summer,Universal,Transformation,Comedy,50 to 100,68%,58%,"$7,535",$51.85,$19.73,$71.58,$75.00,95.44%,"-$1,548.00",-$3.42,$22.70,"$6,800.00"
The Expendables,2020,2020-06-04,Friday,Summer,Independent,Pursuit,Action,50 to 100,40%,58%,"$10,650",$103.07,$171.40,$274.47,$82.00,334.72%,"-$1,468.00",$192.47,$34.80,$400.00
Tangled,2020,2020-06-04,Friday,Summer,Disney,Love,Animation,> 200,89%,88%,"$13,535",$175.78,$179.30,$355.08,$260.00,136.57%,"-$1,756.00",$95.08,$48.77,"$8,900.00"
